"","coligacao","UF","votos_colig","eleitos_UF","votos_UF","QE","cadeiras_colig","media1","cadeiras_round1","media2","cadeiras_round2","media3","cadeiras_round3","media4","cadeiras_round4","media5","cadeiras_round5","media6","cadeiras_round6","media7","cadeiras_round7","media8","cadeiras_round8","media9","cadeiras_round9","media10","cadeiras_round10","media11","cadeiras_round11"
"1","AVANTE (Vagas: 0)","SP",141467,70,21102209,301460,0,141467,0,141467,0,141467,0,141467,0,141467,0,141467,0,141467,0,141467,0,141467,0,141467,0,141467,0
"2","Coligação Mobilização Sustentável por São Paulo (Vagas: 0)","SP",224482,70,21102209,301460,0,224482,0,224482,0,224482,0,224482,0,224482,0,224482,0,224482,0,224482,0,224482,0,224482,0,224482,0
"3","Democracia Cristã (Vagas: 0)","SP",19307,70,21102209,301460,0,19307,0,19307,0,19307,0,19307,0,19307,0,19307,0,19307,0,19307,0,19307,0,19307,0,19307,0
"4","Partido da Causa Operária (Vagas: 0)","SP",0,70,21102209,301460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Partido Pátria Livre (Vagas: 0)","SP",50027,70,21102209,301460,0,50027,0,50027,0,50027,0,50027,0,50027,0,50027,0,50027,0,50027,0,50027,0,50027,0,50027,0
"6","Partido Renovador Trabalhista Brasileiro (Vagas: 0)","SP",77350,70,21102209,301460,0,77350,0,77350,0,77350,0,77350,0,77350,0,77350,0,77350,0,77350,0,77350,0,77350,0,77350,0
"7","Partido Republicano da Ordem Social (Vagas: 0)","SP",200055,70,21102209,301460,0,200055,0,200055,0,200055,0,200055,0,200055,0,200055,0,200055,0,200055,0,200055,0,200055,0,200055,0
"8","Partido Republicano Progressista (Vagas: 0)","SP",131974,70,21102209,301460,0,131974,0,131974,0,131974,0,131974,0,131974,0,131974,0,131974,0,131974,0,131974,0,131974,0,131974,0
"9","Partido Socialista dos Trabalhadores Unificado (Vagas: 0)","SP",11682,70,21102209,301460,0,11682,0,11682,0,11682,0,11682,0,11682,0,11682,0,11682,0,11682,0,11682,0,11682,0,11682,0
"10","Partido Trabalhista Cristão (Vagas: 0)","SP",14189,70,21102209,301460,0,14189,0,14189,0,14189,0,14189,0,14189,0,14189,0,14189,0,14189,0,14189,0,14189,0,14189,0
"11","Patriota (Vagas: 0)","SP",229241,70,21102209,301460,0,229241,0,229241,0,229241,0,229241,0,229241,0,229241,0,229241,0,229241,0,229241,0,229241,0,229241,0
"12","Solidariedade (Vagas: 1)","SP",255231,70,21102209,301460,0,255231,0,255231,0,255231,0,255231,0,255231,0,255231,0,255231,0,255231,0,255231,0,255231,0,255231,0
"13","Movimento Democrático Brasileiro (Vagas: 2)","SP",527821,70,21102209,301460,1,263910.5,1,263910.5,1,263910.5,1,263910.5,1,263910.5,1,263910.5,1,263910.5,1,263910.5,1,263910.5,1,263910.5,2,175940.333333333,2
"14","Partido Democrático Trabalhista (Vagas: 1)","SP",451442,70,21102209,301460,1,225721,1,225721,1,225721,1,225721,1,225721,1,225721,1,225721,1,225721,1,225721,1,225721,1,225721,1
"15","Partido Verde (Vagas: 1)","SP",414051,70,21102209,301460,1,207025.5,1,207025.5,1,207025.5,1,207025.5,1,207025.5,1,207025.5,1,207025.5,1,207025.5,1,207025.5,1,207025.5,1,207025.5,1
"16","Partido Novo (Vagas: 3)","SP",899904,70,21102209,301460,2,299968,3,224976,3,224976,3,224976,3,224976,3,224976,3,224976,3,224976,3,224976,3,224976,3,224976,3
"17","UNIDOS POR SÃO PAULO (Vagas: 3)","SP",754593,70,21102209,301460,2,251531,2,251531,2,251531,2,251531,2,251531,2,251531,2,251531,2,251531,2,251531,2,251531,2,251531,2
"18","SEM MEDO DE MUDAR SÃO PAULO (Vagas: 3)","SP",922692,70,21102209,301460,3,230673,3,230673,3,230673,3,230673,3,230673,3,230673,3,230673,3,230673,3,230673,3,230673,3,230673,3
"19","Coligação PSB PTB PPS PSC (Vagas: 7)","SP",1746226,70,21102209,301460,5,291037.666666667,5,291037.666666667,5,291037.666666667,5,291037.666666667,6,249460.857142857,6,249460.857142857,6,249460.857142857,6,249460.857142857,6,249460.857142857,6,249460.857142857,6,249460.857142857,6
"20","Partido da República (Vagas: 7)","SP",1734561,70,21102209,301460,5,289093.5,5,289093.5,5,289093.5,5,289093.5,5,289093.5,6,247794.428571429,6,247794.428571429,6,247794.428571429,6,247794.428571429,6,247794.428571429,6,247794.428571429,6
"21","Partido Republicano Brasileiro (Vagas: 6)","SP",1591587,70,21102209,301460,5,265264.5,5,265264.5,5,265264.5,5,265264.5,5,265264.5,5,265264.5,5,265264.5,5,265264.5,5,265264.5,6,227369.571428571,6,227369.571428571,6
"22","SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES (Vagas: 9)","SP",2156813,70,21102209,301460,7,269601.625,7,269601.625,7,269601.625,7,269601.625,7,269601.625,7,269601.625,7,269601.625,7,269601.625,8,239645.888888889,8,239645.888888889,8,239645.888888889,8
"23","PSDB-PSD-DEM-PP (Vagas: 17)","SP",4137965,70,21102209,301460,13,295568.928571429,13,295568.928571429,14,275864.333333333,14,275864.333333333,14,275864.333333333,14,275864.333333333,15,258622.8125,15,258622.8125,15,258622.8125,15,258622.8125,15,258622.8125,15
"24","Partido Social Liberal (Vagas: 10)","SP",4409549,70,21102209,301460,14,293969.933333333,14,293969.933333333,14,293969.933333333,15,275596.8125,15,275596.8125,15,275596.8125,15,275596.8125,16,259385.235294118,16,259385.235294118,16,259385.235294118,16,259385.235294118,17
