"","coligacao","UF","votos_colig","eleitos_UF","votos_UF","QE","cadeiras_colig","cadeiras_round11"
"1","Frente Popular do Acre I (Vagas: 1)","AC",60656,8,397217,49652,1,1
"2","Mudança e Competência 1 (Vagas: 5)","AC",212858,8,397217,49652,4,7
"3","Alagoas com o Povo II (Vagas: 4)","AL",441158,9,975842,108427,4,5
"4","Avança Mais Alagoas 1 (Vagas: 5)","AL",434775,9,975842,108427,4,4
"5","O POVO FELIZ DE NOVO (Vagas: 1)","AM",249291,8,1429671,178709,1,2
"6","AMAZONAS COM SEGURANÇA  (Vagas: 3)","AM",410271,8,1429671,178709,2,3
"7","EU VOTO NO AMAZONAS I (Vagas: 4)","AM",458595,8,1429671,178709,2,3
"8","ALIANÇA SOCIAL E DEMOCRATICA (Vagas: 2)","AP",53689,8,232931,29116,1,2
"9","AMAPÁ DA GENTE (Vagas: 1)","AP",41677,8,232931,29116,1,2
"10","COM A FORÇA DO POVO PRA SEGUIR CRESCENDO (Vagas: 2)","AP",36584,8,232931,29116,1,1
"11","COM O POVO PRA RENASCER (Vagas: 1)","AP",32353,8,232931,29116,1,1
"12","JUNTOS PODEMOS (Vagas: 1)","AP",43943,8,232931,29116,1,2
"13","LIBERTA BAHIA (Vagas: 1)","BA",277049,39,7050168,180774,1,1
"14","Partido da Social Democracia Brasileira (Vagas: 1)","BA",219247,39,7050168,180774,1,1
"15","Partido Democrático Trabalhista (Vagas: 2)","BA",339264,39,7050168,180774,1,2
"16","Partido Social Liberal (Vagas: 0)","BA",182155,39,7050168,180774,1,1
"17","FRENTE DO TRABALHO POR TODOS OS BAIANOS (Vagas: 2)","BA",424206,39,7050168,180774,2,2
"18","RENOVA BAHIA (Vagas: 3)","BA",556425,39,7050168,180774,3,3
"19","UNIDOS PARA MUDAR A BAHIA (Vagas: 6)","BA",919124,39,7050168,180774,5,6
"20","FRENTE DO TRABALHO POR TODA BAHIA (Vagas: 23)","BA",3587206,39,7050168,180774,19,23
"21","Partido da Social Democracia Brasileira (Vagas: 1)","CE",244788,22,4594520,208842,1,1
"22","PRTB - PPS - PATRIOTAS (Vagas: 1)","CE",263142,22,4594520,208842,1,1
"23","Partido Republicano da Ordem Social (Vagas: 2)","CE",448211,22,4594520,208842,2,2
"24","MDB/PHS/AVANTE/SD/PSD/PSC/PODEMOS/PRB (Vagas: 3)","CE",705666,22,4594520,208842,3,4
